name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,host2_monthly_rank,shop_listed_hosts,tiktok_top30_exact_match,national_popularity_score,x_profile_url,selection_note,selection_score,host2_area,photo_face_check
水瀬 葵,PRISM,https://www.host2.jp/shop/prism/index.html,https://www.host2.jp/shop/prism/aoi/index.html,https://www.host2.jp/shop/prism/aoi/pr01-thum.jpg,1,2026-09-24,1,74,,,https://x.com/prismgdcolors,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",648,歌舞伎町ホストクラブ,unknown
るか,LSP -本店-,https://www.host2.jp/shop/lsp/index.html,https://www.host2.jp/shop/lsp/ruka/index.html,https://www.host2.jp/shop/lsp/ruka/pr01-thum.jpg,1,2026-09-24,1,73,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",646,歌舞伎町ホストクラブ,unknown
大空 蒼,UNIVERSE,https://www.host2.jp/shop/universe/index.html,https://www.host2.jp/shop/universe/ao/index.html,https://www.host2.jp/shop/universe/ao/pr01-thum.jpg,1,2026-09-24,1,73,,,https://x.com/universe_osaka_,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",646,大阪／ミナミホストクラブ,unknown
黒崎礼音,AMATERAS,https://www.host2.jp/shop/amateras02/index.html,https://www.host2.jp/shop/amateras02/omi/index.html,https://www.host2.jp/shop/amateras02/omi/pr01-thum.jpg,0,2026-09-24,0,21,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",642,福岡／中洲・天神ホストクラブ,unknown
妃咲叶桜,ESPRINCE KUMAMOTO,https://www.host2.jp/shop/esprincekumamoto/index.html,https://www.host2.jp/shop/esprincekumamoto/kanon/index.html,https://www.host2.jp/shop/esprincekumamoto/kanon/pr01-thum.jpg,0,2026-09-24,0,19,,,https://x.com/jgroup_host,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",638,熊本／熊本ホストクラブ,unknown
帝 麗苑,THE ONE,https://www.host2.jp/shop/theone_osaka/index.html,https://www.host2.jp/shop/theone_osaka/reon/index.html,https://www.host2.jp/shop/theone_osaka/reon/pr01-thum.jpg,1,2026-09-24,1,69,,,https://x.com/theone_pce,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",638,大阪／ミナミホストクラブ,unknown
白恋風磨,RE:MAKE,https://www.host2.jp/shop/remake_gd/index.html,https://www.host2.jp/shop/remake_gd/fuma01/index.html,https://www.host2.jp/shop/remake_gd/fuma01/pr01-thum.jpg,1,2026-09-24,1,69,,,https://x.com/club_remake,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",638,歌舞伎町ホストクラブ,unknown
流星,TOP DANDY NAGOYA,https://www.host2.jp/shop/topdandynagoya/index.html,https://www.host2.jp/shop/topdandynagoya/ryusei/index.html,https://www.host2.jp/shop/topdandynagoya/ryusei/pr01-thum.jpg,1,2026-09-24,1,68,,,https://x.com/topdandynagoya,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",636,愛知／名古屋ホストクラブ,unknown
皇あとむ,Celeste,https://www.host2.jp/shop/celeste01/index.html,https://www.host2.jp/shop/celeste01/atomu/index.html,https://www.host2.jp/shop/celeste01/atomu/pr01-thum.jpg,1,2026-09-24,1,68,,,https://x.com/atom13ua,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",636,歌舞伎町ホストクラブ,unknown
皇 礼央,ALL WHITE,https://www.host2.jp/shop/allfirsttime/index.html,https://www.host2.jp/shop/allfirsttime/sumeragi/index.html,https://www.host2.jp/shop/allfirsttime/sumeragi/pr01-thum.jpg,1,2026-09-24,1,66,,,https://x.com/ALLWHIT91328093,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",632,歌舞伎町ホストクラブ,unknown
成宮星翔,Chloe -Queens-,https://www.host2.jp/shop/chloe02/index.html,https://www.host2.jp/shop/chloe02/seito/index.html,https://www.host2.jp/shop/chloe02/seito/pr01-thum.jpg,1,2026-09-24,1,62,,,https://x.com/seito_chloe,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",624,歌舞伎町ホストクラブ,unknown
龍,CROSS GUILD,https://www.host2.jp/shop/crossguild/index.html,https://www.host2.jp/shop/crossguild/tatsu/index.html,https://www.host2.jp/shop/crossguild/tatsu/pr01-thum.jpg,1,2026-09-24,1,61,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",622,大阪／ミナミホストクラブ,unknown
紅夜,MONSTAR,https://www.host2.jp/shop/monstar/index.html,https://www.host2.jp/shop/monstar/akaya/index.html,https://www.host2.jp/shop/monstar/akaya/pr01-thum.jpg,1,2026-09-24,1,60,,,https://x.com/xeqahnimu1fgzin,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",620,大阪／ミナミホストクラブ,unknown
早瀬 優,HAREM -総本店-,https://www.host2.jp/shop/harem001/index.html,https://www.host2.jp/shop/harem001/x/index.html,https://www.host2.jp/shop/harem001/x/pr01-thum.jpg,1,2026-09-24,1,59,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",618,歌舞伎町ホストクラブ,unknown
椿 鳴,SINCE YOU... -本店-,https://www.host2.jp/shop/sinceyou3/index.html,https://www.host2.jp/shop/sinceyou3/naru/index.html,https://www.host2.jp/shop/sinceyou3/naru/pr01-thum.jpg,1,2026-09-24,1,59,,,https://x.com/naru_ggg,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",618,歌舞伎町ホストクラブ,unknown
める,CANDYS DIAMOND,https://www.host2.jp/shop/candys_diamond/index.html,https://www.host2.jp/shop/candys_diamond/meru/index.html,https://www.host2.jp/shop/candys_diamond/meru/pr01-thum.jpg,1,2026-09-24,1,58,,,https://x.com/diamondbycandys,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",616,歌舞伎町ホストクラブ,unknown
玲王,YGGDRASILL -OSAKA-,https://www.host2.jp/shop/yggdrasillosaka/index.html,https://www.host2.jp/shop/yggdrasillosaka/reo/index.html,https://www.host2.jp/shop/yggdrasillosaka/reo/pr01-thum.jpg,1,2026-09-24,1,58,,,https://x.com/reo_yggdrasill,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",616,大阪／ミナミホストクラブ,unknown
翔和,XXX -crest-,https://www.host2.jp/shop/xxxcrest/index.html,https://www.host2.jp/shop/xxxcrest/towa/index.html,https://www.host2.jp/shop/xxxcrest/towa/pr01-thum.jpg,1,2026-09-24,1,58,,,https://x.com/xxx___towa3,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",616,大阪／ミナミホストクラブ,unknown
八谷 絹,ADAM,https://www.host2.jp/shop/adam_takamatsu/index.html,https://www.host2.jp/shop/adam_takamatsu/kinu/index.html,https://www.host2.jp/shop/adam_takamatsu/kinu/pr01-thum.jpg,1,2026-09-24,1,57,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",614,香川／高松ホストクラブ,unknown
天月蓮次,ABYSS,https://www.host2.jp/shop/abyss_y/index.html,https://www.host2.jp/shop/abyss_y/renji/index.html,https://www.host2.jp/shop/abyss_y/renji/pr01-thum.jpg,1,2026-09-24,1,57,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",614,神奈川／横浜ホストクラブ,face
成宮 蘭,COLLECTION,https://www.host2.jp/shop/collection/index.html,https://www.host2.jp/shop/collection/ran/index.html,https://www.host2.jp/shop/collection/ran/pr01-thum.jpg,1,2026-09-24,1,57,,,https://x.com/collection_pce,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",614,大阪／ミナミホストクラブ,unknown
秋,YGGDRASILL -SAPPORO-,https://www.host2.jp/shop/ygd_sapporo/index.html,https://www.host2.jp/shop/ygd_sapporo/akittt/index.html,https://www.host2.jp/shop/ygd_sapporo/akittt/pr01-thum.jpg,1,2026-09-24,1,55,,,https://x.com/YGD_Sapporo,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",610,北海道／ススキノホストクラブ,unknown
美月,Laguna,https://www.host2.jp/shop/laguna/index.html,https://www.host2.jp/shop/laguna/mitsuki/index.html,https://www.host2.jp/shop/laguna/mitsuki/pr01-thum.jpg,1,2026-09-24,1,55,,,https://x.com/newgene_group,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",610,歌舞伎町ホストクラブ,unknown
ALICE,Re:BORN,https://www.host2.jp/shop/reborngifu/index.html,https://www.host2.jp/shop/reborngifu/alice/index.html,https://www.host2.jp/shop/reborngifu/alice/pr01-thum.jpg,1,2026-09-24,1,52,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",604,岐阜／岐阜ホストクラブ,unknown
南 桜,BLACK,https://www.host2.jp/shop/black_gd/index.html,https://www.host2.jp/shop/black_gd/sakura/index.html,https://www.host2.jp/shop/black_gd/sakura/pr01-thum.jpg,1,2026-09-24,1,52,,,https://x.com/clubblackgd,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",604,歌舞伎町ホストクラブ,unknown
天照 煌,GOLD NAGOYA,https://www.host2.jp/shop/gldngy/index.html,https://www.host2.jp/shop/gldngy/hikaru/index.html,https://www.host2.jp/shop/gldngy/hikaru/pr01-thum.jpg,1,2026-09-24,1,52,,,https://x.com/GOLD_HIKARU,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",604,愛知／名古屋ホストクラブ,face
柴犬癒人,CANDYS FILM,https://www.host2.jp/shop/candysfilm/index.html,https://www.host2.jp/shop/candysfilm/yuto01/index.html,https://www.host2.jp/shop/candysfilm/yuto01/pr01-thum.jpg,1,2026-09-24,1,52,,,https://x.com/iyasuhitowan,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",604,歌舞伎町ホストクラブ,face
KEITY,PLATINA -本店-,https://www.host2.jp/shop/platina/index.html,https://www.host2.jp/shop/platina/keity/index.html,https://www.host2.jp/shop/platina/keity/pr01-thum.jpg,1,2026-09-24,1,51,,,https://x.com/keityparty,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",602,歌舞伎町ホストクラブ,unknown
ほへとに伊呂波,FUYUTSUKI -DeZon-,https://www.host2.jp/shop/dezon01/index.html,https://www.host2.jp/shop/dezon01/iroha01/index.html,https://www.host2.jp/shop/dezon01/iroha01/pr01-thum.jpg,1,2026-09-24,1,51,,,https://x.com/iroha_youth,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",602,歌舞伎町ホストクラブ,unknown
華神集也,CANDYS GOD,https://www.host2.jp/shop/candys_god/index.html,https://www.host2.jp/shop/candys_god/shuya/index.html,https://www.host2.jp/shop/candys_god/shuya/pr01-thum.jpg,1,2026-09-24,1,51,,,https://x.com/yakkun05,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",602,歌舞伎町ホストクラブ,face
黒碕健人,WORLD,https://www.host2.jp/shop/world/index.html,https://www.host2.jp/shop/world/kento/index.html,https://www.host2.jp/shop/world/kento/pr01-thum.jpg,1,2026-09-24,1,51,,,https://x.com/kento923gold923,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",602,歌舞伎町ホストクラブ,unknown
