name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
妃咲叶桜,ESPRINCE KUMAMOTO,https://www.host2.jp/shop/esprincekumamoto/index.html,https://www.host2.jp/shop/esprincekumamoto/kanon/index.html,https://www.host2.jp/shop/esprincekumamoto/kanon/pr01-thum.jpg,0,2026-09-24,638,19,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
帝 麗苑,THE ONE,https://www.host2.jp/shop/theone_osaka/index.html,https://www.host2.jp/shop/theone_osaka/reon/index.html,https://www.host2.jp/shop/theone_osaka/reon/pr01-thum.jpg,1,2026-09-24,638,69,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
白恋風磨,RE:MAKE,https://www.host2.jp/shop/remake_gd/index.html,https://www.host2.jp/shop/remake_gd/fuma01/index.html,https://www.host2.jp/shop/remake_gd/fuma01/pr01-thum.jpg,1,2026-09-24,638,69,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
流星,TOP DANDY NAGOYA,https://www.host2.jp/shop/topdandynagoya/index.html,https://www.host2.jp/shop/topdandynagoya/ryusei/index.html,https://www.host2.jp/shop/topdandynagoya/ryusei/pr01-thum.jpg,1,2026-09-24,636,68,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
皇あとむ,Celeste,https://www.host2.jp/shop/celeste01/index.html,https://www.host2.jp/shop/celeste01/atomu/index.html,https://www.host2.jp/shop/celeste01/atomu/pr01-thum.jpg,1,2026-09-24,636,68,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
皇 礼央,ALL WHITE,https://www.host2.jp/shop/allfirsttime/index.html,https://www.host2.jp/shop/allfirsttime/sumeragi/index.html,https://www.host2.jp/shop/allfirsttime/sumeragi/pr01-thum.jpg,1,2026-09-24,632,66,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
成宮星翔,Chloe -Queens-,https://www.host2.jp/shop/chloe02/index.html,https://www.host2.jp/shop/chloe02/seito/index.html,https://www.host2.jp/shop/chloe02/seito/pr01-thum.jpg,1,2026-09-24,624,62,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
龍,CROSS GUILD,https://www.host2.jp/shop/crossguild/index.html,https://www.host2.jp/shop/crossguild/tatsu/index.html,https://www.host2.jp/shop/crossguild/tatsu/pr01-thum.jpg,1,2026-09-24,622,61,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
紅夜,MONSTAR,https://www.host2.jp/shop/monstar/index.html,https://www.host2.jp/shop/monstar/akaya/index.html,https://www.host2.jp/shop/monstar/akaya/pr01-thum.jpg,1,2026-09-24,620,60,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
咲夜佳衣,WHITE,https://www.host2.jp/shop/white_ehime/index.html,https://www.host2.jp/shop/white_ehime/kai/index.html,https://www.host2.jp/img/com/staff_pr.jpg,1,2026-09-24,618,59,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
早瀬 優,HAREM -総本店-,https://www.host2.jp/shop/harem001/index.html,https://www.host2.jp/shop/harem001/x/index.html,https://www.host2.jp/shop/harem001/x/pr01-thum.jpg,1,2026-09-24,618,59,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
椿 鳴,SINCE YOU... -本店-,https://www.host2.jp/shop/sinceyou3/index.html,https://www.host2.jp/shop/sinceyou3/naru/index.html,https://www.host2.jp/shop/sinceyou3/naru/pr01-thum.jpg,1,2026-09-24,618,59,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
める,CANDYS DIAMOND,https://www.host2.jp/shop/candys_diamond/index.html,https://www.host2.jp/shop/candys_diamond/meru/index.html,https://www.host2.jp/shop/candys_diamond/meru/pr01-thum.jpg,1,2026-09-24,616,58,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
玲王,YGGDRASILL -OSAKA-,https://www.host2.jp/shop/yggdrasillosaka/index.html,https://www.host2.jp/shop/yggdrasillosaka/reo/index.html,https://www.host2.jp/shop/yggdrasillosaka/reo/pr01-thum.jpg,1,2026-09-24,616,58,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
翔和,XXX -crest-,https://www.host2.jp/shop/xxxcrest/index.html,https://www.host2.jp/shop/xxxcrest/towa/index.html,https://www.host2.jp/shop/xxxcrest/towa/pr01-thum.jpg,1,2026-09-24,616,58,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
八谷 絹,ADAM,https://www.host2.jp/shop/adam_takamatsu/index.html,https://www.host2.jp/shop/adam_takamatsu/kinu/index.html,https://www.host2.jp/shop/adam_takamatsu/kinu/pr01-thum.jpg,1,2026-09-24,614,57,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
天月蓮次,ABYSS,https://www.host2.jp/shop/abyss_y/index.html,https://www.host2.jp/shop/abyss_y/renji/index.html,https://www.host2.jp/shop/abyss_y/renji/pr01-thum.jpg,1,2026-09-24,614,57,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
成宮 蘭,COLLECTION,https://www.host2.jp/shop/collection/index.html,https://www.host2.jp/shop/collection/ran/index.html,https://www.host2.jp/shop/collection/ran/pr01-thum.jpg,1,2026-09-24,614,57,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
星空 輝,L2,https://www.host2.jp/shop/l2gunma/index.html,https://www.host2.jp/shop/l2gunma/kirari2/index.html,https://www.host2.jp/shop/l2gunma/kirari2/pr01-thum.jpg,1,2026-09-24,612,56,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
秋,YGGDRASILL -SAPPORO-,https://www.host2.jp/shop/ygd_sapporo/index.html,https://www.host2.jp/shop/ygd_sapporo/akittt/index.html,https://www.host2.jp/shop/ygd_sapporo/akittt/pr01-thum.jpg,1,2026-09-24,610,55,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
美月,Laguna,https://www.host2.jp/shop/laguna/index.html,https://www.host2.jp/shop/laguna/mitsuki/index.html,https://www.host2.jp/shop/laguna/mitsuki/pr01-thum.jpg,1,2026-09-24,610,55,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
ALICE,Re:BORN,https://www.host2.jp/shop/reborngifu/index.html,https://www.host2.jp/shop/reborngifu/alice/index.html,https://www.host2.jp/shop/reborngifu/alice/pr01-thum.jpg,1,2026-09-24,604,52,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
南 桜,BLACK,https://www.host2.jp/shop/black_gd/index.html,https://www.host2.jp/shop/black_gd/sakura/index.html,https://www.host2.jp/shop/black_gd/sakura/pr01-thum.jpg,1,2026-09-24,604,52,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
天照 煌,GOLD NAGOYA,https://www.host2.jp/shop/gldngy/index.html,https://www.host2.jp/shop/gldngy/hikaru/index.html,https://www.host2.jp/shop/gldngy/hikaru/pr01-thum.jpg,1,2026-09-24,604,52,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
希劉(スーパーコリアン),UNIVERSE -NOVA-,https://www.host2.jp/shop/novaosakaminami/index.html,https://www.host2.jp/shop/novaosakaminami/kiru/index.html,https://www.host2.jp/shop/novaosakaminami/kiru/pr01-thum.jpg,1,2026-09-24,604,52,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
