name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
空本みのる,GENTLE,https://www.host2.jp/shop/gentle/index.html,https://www.host2.jp/shop/gentle/minoru/index.html,https://www.host2.jp/shop/gentle/minoru/pr01-thum.jpg,1,2026-09-24,600,50,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
風早 樂,UNIVERSE zero,https://www.host2.jp/shop/universezero/index.html,https://www.host2.jp/shop/universezero/gaku/index.html,https://www.host2.jp/shop/universezero/gaku/pr01-thum.jpg,1,2026-09-24,600,50,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
颯天,ellie,https://www.host2.jp/shop/ellie/index.html,https://www.host2.jp/shop/ellie/hayate/index.html,https://www.host2.jp/shop/ellie/hayate/pr01-thum.jpg,1,2026-09-24,598,49,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
あらし,HEAVEN,https://www.host2.jp/shop/heaven01/index.html,https://www.host2.jp/shop/heaven01/arashi02/index.html,https://www.host2.jp/shop/heaven01/arashi02/pr01-thum.jpg,1,2026-09-24,594,47,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
ゆら,KING,https://www.host2.jp/shop/king2/index.html,https://www.host2.jp/shop/king2/yura/index.html,https://www.host2.jp/shop/king2/yura/pr01-thum.jpg,1,2026-09-24,594,47,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
酸りお,GR8,https://www.host2.jp/shop/gr8/index.html,https://www.host2.jp/shop/gr8/rio/index.html,https://www.host2.jp/shop/gr8/rio/pr01-thum.jpg,1,2026-09-24,594,47,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
景虎,UNIVERSE -core-,https://www.host2.jp/shop/universecore/index.html,https://www.host2.jp/shop/universecore/kagetora/index.html,https://www.host2.jp/shop/universecore/kagetora/pr01-thum.jpg,1,2026-09-24,592,46,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
飛龍,ALLWHITE TERRACE,https://www.host2.jp/shop/allwhiteterrace/index.html,https://www.host2.jp/shop/allwhiteterrace/hiryu/index.html,https://www.host2.jp/shop/allwhiteterrace/hiryu/pr01-thum.jpg,1,2026-09-24,592,46,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
李 音咒,HIGHCLASS,https://www.host2.jp/shop/highclass/index.html,https://www.host2.jp/shop/highclass/injl/index.html,https://www.host2.jp/shop/highclass/injl/pr01-thum.jpg,1,2026-09-24,590,45,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
一ノ瀬 周,TOP DANDY -朝TOP-,https://www.host2.jp/shop/topdandy2/index.html,https://www.host2.jp/shop/topdandy2/shu02/index.html,https://www.host2.jp/shop/topdandy2/shu02/pr01-thum.jpg,1,2026-09-24,588,44,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
